[scan] Ranking key files
# note: key file scoring capped at 120 candidates (from 565)
180 src/extensions.rs (exports=185, imported_by=130, capability_boost=0, cap_weighted=0, pref=10, role_boost=0, penalty=0)
151 src/model.rs (exports=17, imported_by=126, capability_boost=0, cap_weighted=0, pref=8, role_boost=0, penalty=0)
139 src/tools.rs (exports=22, imported_by=112, capability_boost=0, cap_weighted=0, pref=5, role_boost=0, penalty=0)
127 src/session.rs (exports=44, imported_by=77, capability_boost=0, cap_weighted=0, pref=10, role_boost=0, penalty=0)
116 src/extensions_js.rs (exports=115, imported_by=66, capability_boost=0, cap_weighted=0, pref=10, role_boost=0, penalty=0)
97 src/provider.rs (exports=11, imported_by=84, capability_boost=0, cap_weighted=0, pref=2, role_boost=0, penalty=0)
97 src/error.rs (exports=7, imported_by=89, capability_boost=0, cap_weighted=0, pref=1, role_boost=0, penalty=0)
81 src/auth/mod.rs (exports=45, imported_by=33, capability_boost=0, cap_weighted=0, pref=10, role_boost=2, penalty=4)
80 src/lib.rs (exports=83, imported_by=34, capability_boost=0, cap_weighted=0, pref=10, role_boost=0, penalty=4)
74 src/config.rs (exports=23, imported_by=46, capability_boost=0, cap_weighted=0, pref=5, role_boost=0, penalty=0)
59 src/extension_scoring.rs (exports=51, imported_by=9, capability_boost=0, cap_weighted=0, pref=10, role_boost=0, penalty=0)
59 src/events.rs (exports=41, imported_by=9, capability_boost=0, cap_weighted=0, pref=10, role_boost=0, penalty=0)
57 src/models.rs (exports=10, imported_by=45, capability_boost=0, cap_weighted=0, pref=2, role_boost=0, penalty=0)
57 src/cli.rs (exports=6, imported_by=50, capability_boost=0, cap_weighted=0, pref=1, role_boost=0, penalty=0)
55 src/scheduler.rs (exports=31, imported_by=17, capability_boost=0, cap_weighted=0, pref=7, role_boost=0, penalty=0)
53 src/sdk.rs (exports=41, imported_by=3, capability_boost=0, cap_weighted=0, pref=10, role_boost=0, penalty=0)
51 src/agent.rs (exports=9, imported_by=40, capability_boost=0, cap_weighted=0, pref=2, role_boost=0, penalty=0)
49 src/providers/mod.rs (exports=16, imported_by=33, capability_boost=0, cap_weighted=0, pref=4, role_boost=0, penalty=4)
46 tests/installer_regression.sh (exports=49, imported_by=0, capability_boost=0, cap_weighted=0, pref=10, role_boost=0, penalty=4)
46 install.sh (exports=71, imported_by=0, capability_boost=0, cap_weighted=0, pref=10, role_boost=0, penalty=4)
44 src/resources.rs (exports=20, imported_by=19, capability_boost=0, cap_weighted=0, pref=5, role_boost=0, penalty=0)
44 src/extension_preflight.rs (exports=31, imported_by=6, capability_boost=0, cap_weighted=0, pref=7, role_boost=0, penalty=0)
37 src/package_manager.rs (exports=24, imported_by=7, capability_boost=0, cap_weighted=0, pref=6, role_boost=0, penalty=0)
34 src/vcr.rs (exports=8, imported_by=24, capability_boost=0, cap_weighted=0, pref=2, role_boost=0, penalty=0)
34 src/reliability/mod.rs (exports=15, imported_by=20, capability_boost=0, cap_weighted=0, pref=3, role_boost=0, penalty=4)
